country,tls13,ipv6,http3,iqi_p50,region
UY,64.08139167924529,52.3416380754717,29.74573483018868,20.885163301886795,LATAM
UZ,62.692910867924525,8.964858584905661,29.598266000000002,5.6450119999999995,Other
VA,68.33527173584905,12.187815301886792,20.917929528301887,71.84838216129033,Other
VC,66.92940649056604,3.7521336792452833,27.5739000754717,7.958704056603773,Other
VE,68.30034843396227,4.612485566037736,24.902286735849056,8.822119037735849,LATAM
VG,67.37585079245282,17.257321509433964,26.877203735849058,13.381786075471698,Other
VI,63.59092879245283,13.651504320754716,30.348575018867926,10.584418490566039,Other
VN,69.33048805660377,40.611234622641504,25.433913396226416,15.214620716981132,APAC-Em
VU,62.01690079245283,14.114047905660376,29.368568867924527,6.825082698113207,Other
WF,61.64395398113208,8.74227703773585,33.34883362264151,3.645782458333333,Other
WS,59.12537856603773,7.690794433962264,33.12560120754717,8.76354862264151,Other
XK,57.58435350943397,4.063605075471698,23.316513886792453,19.807370905660374,Other
YE,77.87519301886792,2.1461218490566036,11.771912811320755,3.519757566037736,Other
YT,62.73371437735849,23.91046941509434,30.827721773584905,4.9910911698113205,Other
ZA,67.3476858490566,2.7590666415094343,27.292225037735847,15.915886320754717,Africa
ZM,62.310943962264155,4.047280113207547,28.1910579245283,5.822022094339622,Other
ZW,73.03454045283019,15.53481883018868,17.55646586792453,7.789351415094339,Other
