country_iso2,WINDOWS,ANDROID,MACOSX,IOS,LINUX,CHROMEOS,SMART_TV,tls13,IPv6,HTTP/3,bw_p50
AD,41.6694291509434,18.354642396226417,20.761768698113205,17.085364528301888,1.7765360188679244,0.3112593962264151,0.040999754716981134,67.04904024528302,2.042344566037736,26.59494703773585,25.784762075471697
AE,36.59901277358491,34.43014766037736,10.989381886792453,15.870636924528302,1.3909695849056605,0.6529416037735849,0.06690956603773585,69.529861,35.572591943396226,23.623259981132076,30.466350132075473
AF,27.34747775471698,57.5106537735849,1.535614245283019,12.43869766037736,1.109924433962264,0.04852496226415095,0.009107094339622642,75.93592479245282,4.377576773584906,11.966794056603774,3.7018688301886793
AG,32.62377339622641,33.53744609433962,10.487060547169811,21.039931641509433,1.0643415849056606,1.1013160566037736,0.14613069811320753,67.82787235849057,4.149803886792453,26.760087471698114,9.525734962264151
AI,33.38702228301887,27.128013811320756,12.145381735849057,24.827690566037738,1.531585075471698,0.8146591886792454,0.16564735849056605,68.73751662264151,39.07198660377359,25.642576886792455,17.27410668627451
AL,36.49518941509434,28.00550390566038,6.8346346603773585,26.06995216981132,2.1537580566037735,0.24431722641509432,0.196644679245283,62.178227735849056,5.312519754716981,24.656215566037734,15.74117537735849
AM,33.337176075471696,34.42757543396226,7.710812962264151,21.63072986792453,2.754463773584906,0.07565984905660378,0.06358196226415094,56.49420566037736,6.759872698113208,37.722663999999995,13.22376141509434
AN,,,,,,,,,,,
AO,21.027762018867925,64.93219488679244,2.68372020754717,10.194298547169812,1.026359528301887,0.11733941509433962,0.018325301886792454,67.33241966037735,12.467762188679245,24.30617237735849,5.498891811320754
AP,,,,,,,,,,,
AQ,71.82918052830189,10.153633301886792,11.433414320754716,4.464925396226415,1.923197283018868,0.09634447169811321,0.09930486792452829,95.37872928301887,42.90995375471699,1.4009280943396227,10.845403210526316
AR,39.51551460377359,45.62771377358491,4.822949075471698,8.245734754716981,1.6658664716981133,0.0884035283018868,0.03381779245283019,65.59376177358492,25.500263811320753,27.960650094339623,22.5992009245283
AS,44.95275490566038,16.31711020754717,15.462434566037738,18.911529905660377,0.5838009811320755,3.7485550188679246,0.02381452830188679,72.0203273018868,42.94377915094339,22.5007660754717,4.786358094339622
AT,38.67337388679245,26.764127358490565,10.706085056603774,20.974709301886794,2.635121075471698,0.19230183018867925,0.054281584905660374,66.95740539622642,31.64702509433962,27.253510981132074,23.102749245283018
AU,37.52540332075472,17.263702641509433,16.12514828301887,26.368671490566037,1.8467905471698112,0.8394768867924528,0.03080677358490566,64.56378390566037,25.073428075471696,26.623851735849055,27.053768150943394
