country_iso2,mk_z_TLS 1.3,mk_p_TLS 1.3,trend_TLS 1.3,mk_z_IPv6,mk_p_IPv6,trend_IPv6,mk_z_HTTP/3,mk_p_HTTP/3,trend_HTTP/3,mk_z_bw_p50,mk_p_bw_p50,trend_bw_p50
AD,1.4957870464482184,0.1347091580059112,=,-4.042460376811339,5.289325282520352e-05,↓,-3.336755718999872,0.0008476241257342476,↓,-2.983903390094138,0.002845966158901758,↓
AE,-1.8332979697493548,0.06675827115815913,=,-1.8946635921677433,0.05813698406793577,=,3.4594869638366488,0.0005412054742668371,↑,-6.9113032248709985,4.802158670713652e-12,↓
AF,2.7077580892113904,0.0067739378358424585,↑,-0.897472227868931,0.36946698634604447,=,0.5446198989631975,0.5860149659764187,=,-5.914111860572187,3.336710685530875e-09,↓
AG,4.855554873854986,1.20050102969671e-06,↑,0.6059855213815859,0.5445243676727738,=,-2.0787604594229085,0.03763937286123564,↓,-2.677075278002196,0.007426794652667379,↓
AI,1.2656659623792617,0.20563269934203188,=,-6.021501699804366,1.7280621378290562e-09,↓,-2.4929784107470305,0.01266765483420973,↓,-1.429509155832178,0.15285794526396268,=
AL,4.594750978576835,4.332663667838688e-06,↑,-8.046567239611186,8.881784197001252e-16,↓,1.2503245567746646,0.2111810113860968,=,-2.569685438770016,0.01017908964767944,↓
AM,1.725908130517175,0.08436394178009232,=,4.134508810438922,3.5571460797356735e-05,↑,1.725908130517175,0.08436394178009232,=,-3.490169775045843,0.00048271377906883295,↓
AN,,,=,,,=,,,=,,,=
AO,2.2321745154688797,0.025603431054110448,↑,-2.830489334048167,0.004647686079186197,↓,3.0606104181171236,0.002208862972473913,↑,-3.2907315021860803,0.000999272412156138,↓
AP,,,=,,,=,,,=,,,=
AQ,-1.779603050133265,0.07514094670077931,=,-5.668649370898633,1.4392756320091848e-08,↓,-1.2426538539723662,0.21399541555581436,=,-3.9183839998313896,8.914461184561517e-05,↓
AR,0.345181626103435,0.7299578310870509,=,5.944794671781381,2.768036022615661e-09,↑,4.870896279459583,1.1109314956847527e-06,↑,-5.116358769133137,3.114903206480335e-07,↓
