date,country_iso2,metric,p75,p50,p25
2025-10-13 00:00:00+00:00,AD,DNS,54.790196,28.796424,19.189622
2025-10-20 00:00:00+00:00,AD,DNS,48.925793,28.993028,18.443569
2025-10-27 00:00:00+00:00,AD,DNS,48.686386,29.215694,18.47979
2025-11-03 00:00:00+00:00,AD,DNS,45.008525,26.640325,18.657112
2025-11-10 00:00:00+00:00,AD,DNS,48.179119,28.149902,18.953608
2025-11-17 00:00:00+00:00,AD,DNS,57.308491,34.044552,20.672325
2025-11-24 00:00:00+00:00,AD,DNS,50.382661,27.680787,16.861212
2025-12-01 00:00:00+00:00,AD,DNS,40.889966,25.745396,17.048031
2025-12-08 00:00:00+00:00,AD,DNS,44.299242,26.237213,17.501185
2025-12-15 00:00:00+00:00,AD,DNS,44.298271,28.912913,21.213583
2025-12-22 00:00:00+00:00,AD,DNS,53.360607,30.517689,22.222851
2025-12-29 00:00:00+00:00,AD,DNS,50.620723,30.065628,22.512749
2026-01-05 00:00:00+00:00,AD,DNS,41.931788,28.189409,20.056981
2026-01-12 00:00:00+00:00,AD,DNS,42.190275,28.210392,20.243361
2026-01-19 00:00:00+00:00,AD,DNS,45.965532,31.018451,22.929187
2026-01-26 00:00:00+00:00,AD,DNS,43.022534,29.205128,21.819894
2026-02-02 00:00:00+00:00,AD,DNS,39.601742,26.703896,21.536948
2026-02-09 00:00:00+00:00,AD,DNS,48.021542,29.753308,23.349792
2026-02-16 00:00:00+00:00,AD,DNS,54.26104,37.041104,27.836903
2026-02-23 00:00:00+00:00,AD,DNS,43.657742,29.334524,21.608583
2026-03-02 00:00:00+00:00,AD,DNS,50.031775,31.673536,23.281294
2026-03-09 00:00:00+00:00,AD,DNS,45.149743,28.345326,20.839929
2026-03-16 00:00:00+00:00,AD,DNS,50.387535,31.412418,22.365432
2026-03-23 00:00:00+00:00,AD,DNS,47.971684,32.164864,22.745336
2026-03-30 00:00:00+00:00,AD,DNS,54.855079,32.839895,21.993039
2026-04-06 00:00:00+00:00,AD,DNS,40.288319,27.09407,18.941174
2026-04-13 00:00:00+00:00,AD,DNS,43.970612,29.19215,20.69872
2026-04-20 00:00:00+00:00,AD,DNS,44.003028,27.564989,19.96424
2026-04-27 00:00:00+00:00,AD,DNS,36.731207,24.622261,16.335126
2026-05-04 00:00:00+00:00,AD,DNS,41.333469,26.87888,19.700286
2026-05-11 00:00:00+00:00,AD,DNS,41.316404,28.41298,19.27926
2026-05-18 00:00:00+00:00,AD,DNS,44.10087,29.430887,20.537361
2026-05-25 00:00:00+00:00,AD,DNS,37.321069,26.626324,21.255605
2026-06-01 00:00:00+00:00,AD,DNS,45.587072,31.32519,23.13703
2026-06-08 00:00:00+00:00,AD,DNS,46.12097,31.404925,20.972836
2025-06-09 00:00:00+00:00,AI,DNS,,,
