date,category,PASS,NONE,FAIL
2025-06-09 00:00:00+00:00,dmarc,87.809574,8.005122,4.185304
2025-06-16 00:00:00+00:00,dmarc,88.994682,6.656021,4.349297
2025-06-23 00:00:00+00:00,dmarc,89.186778,5.930918,4.882303
2025-06-30 00:00:00+00:00,dmarc,88.560866,6.888366,4.550768
2025-07-07 00:00:00+00:00,dmarc,89.05136,6.821907,4.126733
2025-07-14 00:00:00+00:00,dmarc,88.456654,7.015393,4.527953
2025-07-21 00:00:00+00:00,dmarc,88.647507,6.77843,4.574063
2025-07-28 00:00:00+00:00,dmarc,83.711869,6.300335,9.987795
2025-08-04 00:00:00+00:00,dmarc,85.98937,5.693296,8.317334
2025-08-11 00:00:00+00:00,dmarc,87.84148,7.139754,5.018767
2025-08-18 00:00:00+00:00,dmarc,88.060874,7.247328,4.691798
2025-08-25 00:00:00+00:00,dmarc,87.748987,7.285224,4.96579
2025-09-01 00:00:00+00:00,dmarc,88.066514,7.021036,4.912451
2025-09-08 00:00:00+00:00,dmarc,89.212623,6.116581,4.670795
2025-09-15 00:00:00+00:00,dmarc,85.912744,5.543355,8.543902
2025-09-22 00:00:00+00:00,dmarc,86.441018,6.038618,7.520364
2025-09-29 00:00:00+00:00,dmarc,86.675441,5.037482,8.287077
2025-10-06 00:00:00+00:00,dmarc,87.151658,5.718904,7.129439
2025-10-13 00:00:00+00:00,dmarc,86.431326,6.511875,7.0568
2025-10-20 00:00:00+00:00,dmarc,86.172207,8.601203,5.22659
2025-10-27 00:00:00+00:00,dmarc,88.364563,7.836679,3.798759
2025-11-03 00:00:00+00:00,dmarc,88.60852,7.152821,4.238659
2025-11-10 00:00:00+00:00,dmarc,87.865976,8.059843,4.07418
2025-11-17 00:00:00+00:00,dmarc,87.497131,8.764133,3.738735
2025-11-24 00:00:00+00:00,dmarc,88.267291,7.839772,3.892937
2025-12-01 00:00:00+00:00,dmarc,89.637082,6.876955,3.485963
2025-12-08 00:00:00+00:00,dmarc,87.781769,8.366731,3.8515
2025-12-15 00:00:00+00:00,dmarc,87.782047,8.477451,3.740502
2025-12-22 00:00:00+00:00,dmarc,85.793535,9.869029,4.337436
2025-12-29 00:00:00+00:00,dmarc,85.074979,10.866251,4.05877
2026-01-05 00:00:00+00:00,dmarc,87.713816,8.807368,3.478816
2026-01-12 00:00:00+00:00,dmarc,86.188242,9.593068,4.21869
2026-01-19 00:00:00+00:00,dmarc,86.541055,9.337265,4.12168
2026-01-26 00:00:00+00:00,dmarc,90.930376,5.736977,3.332648
2026-02-02 00:00:00+00:00,dmarc,90.922304,5.75066,3.327036
2026-02-09 00:00:00+00:00,dmarc,90.849525,5.882061,3.268414
2026-02-16 00:00:00+00:00,dmarc,91.705499,5.426644,2.867857
2026-02-23 00:00:00+00:00,dmarc,90.505713,5.792251,3.702035
2026-03-02 00:00:00+00:00,dmarc,88.214423,7.972638,3.812939
2026-03-09 00:00:00+00:00,dmarc,87.306286,5.875299,6.818415
2026-03-16 00:00:00+00:00,dmarc,88.771462,5.023605,6.204933
2026-03-23 00:00:00+00:00,dmarc,88.480821,4.879412,6.639767
2026-03-30 00:00:00+00:00,dmarc,88.720707,5.708096,5.571197
2026-04-06 00:00:00+00:00,dmarc,89.131012,4.999113,5.869875
2026-04-13 00:00:00+00:00,dmarc,90.427236,4.623073,4.949691
2026-04-20 00:00:00+00:00,dmarc,88.960058,4.865415,6.174528
2026-04-27 00:00:00+00:00,dmarc,88.640943,5.348817,6.01024
2026-05-04 00:00:00+00:00,dmarc,89.234193,4.867117,5.89869
2026-05-11 00:00:00+00:00,dmarc,87.172454,6.154648,6.672898
2026-05-18 00:00:00+00:00,dmarc,79.224634,5.797225,14.978141
2026-05-25 00:00:00+00:00,dmarc,86.503969,5.763654,7.732378
2026-06-01 00:00:00+00:00,dmarc,88.63695,7.186375,4.176675
2026-06-08 00:00:00+00:00,dmarc,87.972072,7.374646,4.653282
