date,values
2025-06-09 00:00:00+00:00,0.581509
2025-06-16 00:00:00+00:00,0.58095
2025-06-23 00:00:00+00:00,0.605283
2025-06-30 00:00:00+00:00,0.618635
2025-07-07 00:00:00+00:00,0.632953
2025-07-14 00:00:00+00:00,0.623126
2025-07-21 00:00:00+00:00,0.635493
2025-07-28 00:00:00+00:00,0.642269
2025-08-04 00:00:00+00:00,0.629973
2025-08-11 00:00:00+00:00,0.62094
2025-08-18 00:00:00+00:00,0.630797
2025-08-25 00:00:00+00:00,0.628591
2025-09-01 00:00:00+00:00,0.632488
2025-09-08 00:00:00+00:00,0.649843
2025-09-15 00:00:00+00:00,0.651098
2025-09-22 00:00:00+00:00,0.654394
2025-09-29 00:00:00+00:00,0.656826
2025-10-06 00:00:00+00:00,0.743261
2025-10-13 00:00:00+00:00,0.675449
2025-10-20 00:00:00+00:00,0.702071
2025-10-27 00:00:00+00:00,0.736804
2025-11-03 00:00:00+00:00,0.80284
2025-11-10 00:00:00+00:00,0.799019
2025-11-17 00:00:00+00:00,0.748643
2025-11-24 00:00:00+00:00,0.73904
2025-12-01 00:00:00+00:00,0.742737
2025-12-08 00:00:00+00:00,0.747133
2025-12-15 00:00:00+00:00,0.749988
2025-12-22 00:00:00+00:00,0.728585
2025-12-29 00:00:00+00:00,0.742291
2026-01-05 00:00:00+00:00,0.764372
2026-01-12 00:00:00+00:00,0.737592
2026-01-19 00:00:00+00:00,0.750729
2026-01-26 00:00:00+00:00,0.765573
2026-02-02 00:00:00+00:00,0.781804
2026-02-09 00:00:00+00:00,0.840322
2026-02-16 00:00:00+00:00,0.82925
2026-02-23 00:00:00+00:00,0.835187
2026-03-02 00:00:00+00:00,0.840913
2026-03-09 00:00:00+00:00,0.826583
2026-03-16 00:00:00+00:00,0.827876
2026-03-23 00:00:00+00:00,0.858783
2026-03-30 00:00:00+00:00,0.942112
2026-04-06 00:00:00+00:00,0.921298
2026-04-13 00:00:00+00:00,0.941066
2026-04-20 00:00:00+00:00,0.923178
2026-04-27 00:00:00+00:00,0.97387
2026-05-04 00:00:00+00:00,0.957087
2026-05-11 00:00:00+00:00,0.921601
2026-05-18 00:00:00+00:00,0.931438
2026-05-25 00:00:00+00:00,0.950643
2026-06-01 00:00:00+00:00,1.0
