date,country_iso2,chrome,safari,edge,firefox,samsung,opera,ucbrowser,yandex,brave,coccoc
2026-03-09 00:00:00+00:00,AE,74.385598,15.146193,5.987515,2.053691,1.482743,0.758382,0.181555,0.003329,0.000951,4.3e-05
2026-03-16 00:00:00+00:00,AE,75.828882,14.709135,5.044733,1.783069,1.568919,0.802172,0.257459,0.004082,0.001548,0.0
2026-03-23 00:00:00+00:00,AE,74.635668,14.616039,6.381595,1.850204,1.45832,0.832429,0.220665,0.003966,0.001074,4.1e-05
2026-03-30 00:00:00+00:00,AE,75.045354,14.180374,6.420808,1.951809,1.38024,0.827817,0.188188,0.002724,0.002646,3.9e-05
2026-04-06 00:00:00+00:00,AE,74.28702,14.434002,6.984934,1.844951,1.420324,0.821135,0.201277,0.002808,0.00351,3.9e-05
2026-04-13 00:00:00+00:00,AE,74.084708,14.669772,7.113667,1.715409,1.36694,0.82158,0.223029,0.002984,0.00191,0.0
2026-04-20 00:00:00+00:00,AE,74.535004,14.190718,7.128829,1.816012,1.280874,0.792851,0.251079,0.002945,0.001688,0.0
2026-04-27 00:00:00+00:00,AE,74.14512,14.500192,7.292582,1.747909,1.282866,0.790175,0.237653,0.001989,0.001392,0.000119
2026-05-04 00:00:00+00:00,AE,73.695464,14.704309,7.422639,1.822014,1.316897,0.792167,0.239221,0.00278,0.004471,3.8e-05
2026-05-11 00:00:00+00:00,AE,74.481242,14.09493,7.42161,1.727218,1.260679,0.755726,0.251237,0.002246,0.005111,0.0
2026-05-18 00:00:00+00:00,AE,74.536467,14.218818,7.078421,1.869851,1.282866,0.750818,0.256268,0.002776,0.003715,0.0
2026-05-25 00:00:00+00:00,AE,75.545004,15.16983,4.564354,1.982237,1.517588,0.859478,0.344828,0.003409,0.013182,9.1e-05
2026-06-01 00:00:00+00:00,AE,73.903623,14.936751,6.947732,1.831935,1.353832,0.818545,0.194051,0.001865,0.011667,0.0
2026-06-08 00:00:00+00:00,AE,73.843512,13.790951,8.685431,1.775607,1.087219,0.68239,0.126296,0.000486,0.008106,0.0
2025-06-09 00:00:00+00:00,AG,61.204777,23.094485,8.263084,2.730945,3.222691,1.440112,0.043906,0.0,0.0,0.0
2025-06-16 00:00:00+00:00,AG,61.071079,23.156303,8.549061,2.286273,3.442754,1.458945,0.035584,0.0,0.0,0.0
2025-06-23 00:00:00+00:00,AG,60.50442,23.964292,8.467672,2.028081,3.25013,1.759404,0.017334,0.008667,0.0,0.0
2025-06-30 00:00:00+00:00,AG,60.826838,23.000678,8.869875,2.100983,3.880041,1.287699,0.033887,0.0,0.0,0.0
2025-07-07 00:00:00+00:00,AG,60.962386,23.619112,8.581837,1.999322,3.363267,1.448661,0.025415,0.0,0.0,0.0
2025-07-14 00:00:00+00:00,AG,60.429335,23.014557,9.563295,2.22038,3.270684,1.474111,0.02764,0.0,0.0,0.0
2025-07-21 00:00:00+00:00,AG,59.938383,22.203336,10.719218,2.294699,3.367683,1.44481,0.031871,0.0,0.0,0.0
2025-07-28 00:00:00+00:00,AG,60.862186,23.715773,8.474768,2.364788,3.224711,1.346458,0.0,0.011315,0.0,0.0
2025-08-04 00:00:00+00:00,AG,60.975152,22.578528,7.219878,3.956868,3.319269,1.940928,0.009376,0.0,0.0,0.0
2025-08-11 00:00:00+00:00,AG,61.170409,23.500184,7.830328,1.996688,4.057784,1.417004,0.027604,0.0,0.0,0.0
2025-08-18 00:00:00+00:00,AG,60.848679,23.428743,7.896317,2.692154,3.672938,1.451161,0.010008,0.0,0.0,0.0
2025-08-25 00:00:00+00:00,AG,62.434942,21.522604,8.653944,2.275742,3.76569,1.316461,0.030615,0.0,0.0,0.0
2025-09-01 00:00:00+00:00,AG,60.497492,22.929676,8.199406,2.477224,3.961511,1.924455,0.010236,0.0,0.0,0.0
2025-09-08 00:00:00+00:00,AG,63.40568,21.282799,7.76374,2.893856,3.444552,1.187777,0.010798,0.010798,0.0,0.0
2025-09-15 00:00:00+00:00,AG,65.217025,19.325748,7.762326,3.379688,2.991993,1.32322,0.0,0.0,0.0,0.0
2025-09-22 00:00:00+00:00,AG,63.98681,19.494386,7.898249,3.258224,3.4388,1.884274,0.039256,0.0,0.0,0.0
2025-09-29 00:00:00+00:00,AG,65.438103,18.078662,8.318403,3.293234,3.097005,1.774593,0.0,0.0,0.0,0.0
2025-10-06 00:00:00+00:00,AG,66.706712,17.763896,8.129105,2.755086,3.083453,1.545731,0.016018,0.0,0.0,0.0
2025-10-13 00:00:00+00:00,AG,65.776005,19.260876,7.376185,2.747253,3.176276,1.655878,0.0,0.007527,0.0,0.0
2025-10-20 00:00:00+00:00,AG,64.94039,19.485155,7.479687,2.817222,3.462678,1.807275,0.007594,0.0,0.0,0.0
2025-10-27 00:00:00+00:00,AG,65.261435,18.6862,7.979428,2.462402,3.405283,2.174082,0.023377,0.0,0.0,0.007792
2025-11-03 00:00:00+00:00,AG,65.298384,19.782394,8.053083,2.777778,2.423343,1.665018,0.0,0.0,0.0,0.0
2025-11-10 00:00:00+00:00,AG,63.828351,19.951784,9.48891,2.574735,2.487946,1.658631,0.009643,0.0,0.0,0.0
2025-11-17 00:00:00+00:00,AG,64.513124,20.719729,8.602879,2.125318,2.591025,1.430991,0.016935,0.0,0.0,0.0
2025-11-24 00:00:00+00:00,AG,63.375817,21.363006,8.406524,1.875454,3.189593,1.776398,0.013207,0.0,0.0,0.0
2025-12-01 00:00:00+00:00,AG,64.728396,19.62667,8.191768,2.14866,3.135701,2.14866,0.013429,0.006715,0.0,0.0
2025-12-08 00:00:00+00:00,AG,63.944396,20.390296,8.748246,1.918065,3.415091,1.577224,0.0,0.006683,0.0,0.0
2025-12-15 00:00:00+00:00,AG,64.882153,20.162692,7.807829,2.301328,2.878398,1.960648,0.006953,0.0,0.0,0.0
2025-12-22 00:00:00+00:00,AG,64.680459,20.256483,7.028482,2.408956,3.585093,2.033442,0.0,0.007085,0.0,0.0
2025-12-29 00:00:00+00:00,AG,64.862349,20.913685,7.121958,2.114643,3.152015,1.83535,0.0,0.0,0.0,0.0
2026-01-05 00:00:00+00:00,AG,65.504646,19.160525,8.183275,2.652996,2.992631,1.473887,0.019225,0.006408,0.006408,0.0
2026-01-12 00:00:00+00:00,AG,64.48922,20.764887,8.162218,2.175308,2.893994,1.50154,0.006417,0.006417,0.0,0.0
2026-01-19 00:00:00+00:00,AG,63.85466,20.865719,8.669826,2.053712,3.146919,1.377567,0.031596,0.0,0.0,0.0
2026-01-26 00:00:00+00:00,AG,64.350565,19.875239,8.035328,2.303749,3.952813,1.4576,0.024705,0.0,0.0,0.0
2026-02-02 00:00:00+00:00,AG,64.351423,20.003704,8.124961,2.488115,3.352473,1.660801,0.018522,0.0,0.0,0.0
2026-02-09 00:00:00+00:00,AG,64.220072,19.944008,8.861299,2.166636,3.420364,1.381535,0.006086,0.0,0.0,0.0
2026-02-16 00:00:00+00:00,AG,63.174869,20.156474,9.26302,2.759197,3.141424,1.4871,0.017917,0.0,0.0,0.0
2026-02-23 00:00:00+00:00,AG,65.225104,18.913629,8.8023,2.556888,3.162466,1.327379,0.012234,0.0,0.0,0.0
2026-03-02 00:00:00+00:00,AG,64.931161,19.599591,9.090363,2.224493,2.879817,1.256538,0.018036,0.0,0.0,0.0
2026-03-09 00:00:00+00:00,AG,64.424374,19.406486,9.471585,2.246203,3.137646,1.290247,0.023459,0.0,0.0,0.0
2026-03-16 00:00:00+00:00,AG,64.79223,19.855416,8.48739,2.306716,2.97445,1.556206,0.022074,0.005518,0.0,0.0
2026-03-23 00:00:00+00:00,AG,63.274129,20.390278,9.347978,2.237672,3.33606,1.413882,0.0,0.0,0.0,0.0
2026-03-30 00:00:00+00:00,AG,62.965175,20.357207,9.055612,2.45505,3.572069,1.553073,0.03584,0.005973,0.0,0.0
2026-04-06 00:00:00+00:00,AG,63.068663,20.4295,9.386832,2.463973,3.147782,1.480644,0.016954,0.0,0.0,0.005651
