date,values
2025-06-09 00:00:00+00:00,9202167140.0
2025-06-16 00:00:00+00:00,10258879355.0
2025-06-23 00:00:00+00:00,9621813626.0
2025-06-30 00:00:00+00:00,9152177050.0
2025-07-07 00:00:00+00:00,9092033262.0
2025-07-14 00:00:00+00:00,9591427644.0
2025-07-21 00:00:00+00:00,9108867295.0
2025-07-28 00:00:00+00:00,10938021318.0
2025-08-04 00:00:00+00:00,11332557801.0
2025-08-11 00:00:00+00:00,13651943074.0
2025-08-18 00:00:00+00:00,13260517348.0
2025-08-25 00:00:00+00:00,10421466923.0
2025-09-01 00:00:00+00:00,10722571502.0
2025-09-08 00:00:00+00:00,9950799524.0
2025-09-15 00:00:00+00:00,9836505190.0
2025-09-22 00:00:00+00:00,10185575105.0
2025-09-29 00:00:00+00:00,11337676799.0
2025-10-06 00:00:00+00:00,10489344275.0
2025-10-13 00:00:00+00:00,11932434651.0
2025-10-20 00:00:00+00:00,12833324067.0
2025-10-27 00:00:00+00:00,13604890159.0
2025-11-03 00:00:00+00:00,13886672658.0
2025-11-10 00:00:00+00:00,15044273579.0
2025-11-17 00:00:00+00:00,15319550754.0
2025-11-24 00:00:00+00:00,16760510699.0
2025-12-01 00:00:00+00:00,17110079395.0
2025-12-08 00:00:00+00:00,12913603719.0
2025-12-15 00:00:00+00:00,10987888336.0
2025-12-22 00:00:00+00:00,10754981504.0
2025-12-29 00:00:00+00:00,10807342282.0
2026-01-05 00:00:00+00:00,9952836970.0
2026-01-12 00:00:00+00:00,11309324528.0
2026-01-19 00:00:00+00:00,10742090490.0
2026-01-26 00:00:00+00:00,10595428902.0
2026-02-02 00:00:00+00:00,12320018278.0
2026-02-09 00:00:00+00:00,11272709845.0
2026-02-16 00:00:00+00:00,11224025741.0
2026-02-23 00:00:00+00:00,11862184459.0
2026-03-02 00:00:00+00:00,12375145932.0
2026-03-09 00:00:00+00:00,12596135582.0
2026-03-16 00:00:00+00:00,10785002794.0
2026-03-23 00:00:00+00:00,11962623280.0
2026-03-30 00:00:00+00:00,11564890339.0
2026-04-06 00:00:00+00:00,12079913935.0
2026-04-13 00:00:00+00:00,11774878907.0
2026-04-20 00:00:00+00:00,11241331018.0
2026-04-27 00:00:00+00:00,11582480194.0
2026-05-04 00:00:00+00:00,11224243343.0
2026-05-11 00:00:00+00:00,13978896914.0
2026-05-18 00:00:00+00:00,18280851471.0
2026-05-25 00:00:00+00:00,13950074343.0
2026-06-01 00:00:00+00:00,25499721429.0
2026-06-08 00:00:00+00:00,6139854290.0
