country_iso2,bot_ratio,tls13,IPv6,HTTP/3,bw_p50
AD,0.19950088735649554,67.04904024528302,2.042344566037736,26.59494703773585,25.784762075471697
AE,0.15362569754563352,69.529861,35.572591943396226,23.623259981132076,30.466350132075473
AF,0.3048441332044987,75.93592479245282,4.377576773584906,11.966794056603774,3.7018688301886793
AG,0.11944552320635271,67.82787235849057,4.149803886792453,26.760087471698114,9.525734962264151
AI,0.15786296037577982,68.73751662264151,39.07198660377359,25.642576886792455,17.27410668627451
AL,0.37386404263777084,62.178227735849056,5.312519754716981,24.656215566037734,15.74117537735849
AM,0.12240442830066274,56.49420566037736,6.759872698113208,37.722663999999995,13.22376141509434
AO,0.2022621267904302,67.33241966037735,12.467762188679245,24.30617237735849,5.498891811320754
AQ,0.7261831345210401,95.37872928301887,42.90995375471699,1.4009280943396227,10.845403210526316
AR,0.1401838754702963,65.59376177358492,25.500263811320753,27.960650094339623,22.5992009245283
AS,0.2601055122615499,72.0203273018868,42.94377915094339,22.5007660754717,4.786358094339622
AT,0.1912331111301631,66.95740539622642,31.64702509433962,27.253510981132074,23.102749245283018
AU,0.20596392339416678,64.56378390566037,25.073428075471696,26.623851735849055,27.053768150943394
AW,0.07587663509358085,64.82117816981132,2.5210580943396224,29.727223471698114,10.330037716981131
AX,0.1530608716965826,59.917079301886794,29.233254396226414,31.400088037735852,49.68197873584906
AZ,0.14740746679097877,64.54401756603774,0.3846592075471698,28.28979583018868,9.600330849056604
BA,0.15631857867768212,59.378006603773585,7.692852528301887,33.38955013207547,16.902072509433964
BB,0.16022653377198265,64.17749311320755,14.208364226415094,26.379650679245284,8.92537537735849
BD,0.13049086131944979,68.47569973584906,20.001975735849058,24.31298950943396,10.491114641509435
BE,0.37556580452454624,72.39915650943396,33.97351764150943,20.559880773584904,28.293438735849058
BF,0.22983924546939974,65.92340854716981,11.844133792452832,19.877273905660378,5.45613679245283
BG,0.2067153218847253,67.2607463018868,15.243273603773584,27.161114320754717,23.5294360754717
BH,0.25506535867669466,62.9815929245283,16.349623849056606,27.349064358490565,18.04584262264151
BI,0.21748657848839117,66.43753916981133,5.724355056603774,19.02255958490566,3.8587066603773583
BJ,0.148174399809839,61.76559220754717,3.3965661509433964,29.390477188679245,4.220145056603774
BL,0.08591094773498995,64.25627396226415,58.41221403773584,31.598093735849055,10.31300751724138
BM,0.09874815264052196,63.63443220754717,15.666850603773584,28.606737188679247,16.19307383018868
BN,0.13072823811190024,64.94095267924529,1.135253962264151,28.257018641509433,11.659422094339623
BO,0.15184423282867024,66.19922249056603,36.54344109433963,28.260687339622642,8.708809075471697
BQ,0.09341597716887716,64.44248318867925,2.985199056603774,30.420113547169812,13.88405316981132
BR,0.15888830188520356,61.77580569811321,46.54153020754717,30.917700716981134,20.235946396226417
BS,0.11356895584792094,61.21942815094339,25.858470943396224,25.206754735849056,20.198374943396225
BT,0.16906760584736594,62.597179547169816,25.78804296226415,31.65300147169811,6.605127433962264
BW,0.09722272094242401,63.26608950943396,4.696184018867925,33.29650718867925,9.98651116981132
BY,0.39418839188285054,72.07433618867924,5.6642048490566035,18.609587566037735,15.993325132075473
BZ,0.21950760169591813,60.65648062264151,26.780237433962263,23.085872283018865,14.776596
CA,0.20644782999793548,67.65428726415094,30.73140909433962,25.17143130188679,30.410980943396225
CC,0.6559383469745728,87.28435541509434,78.5706117735849,0.8984725849056604,
CD,0.1696910750926427,71.09609130188679,4.540064471698113,17.59877620754717,5.283427641509434
CF,0.27385987905386516,63.684386641509434,6.892963132075471,23.44528273584906,3.7944631132075473
CG,0.25777414811062976,62.59285683018868,22.554963603773583,24.843180641509434,4.685711603773585
CH,0.23488482811085867,68.36293611320755,27.130489641509435,25.07657769811321,34.33335777358491
CI,0.1920478224509097,66.6198700754717,17.60408558490566,23.571149320754717,4.812275264150943
CK,0.11498144641394452,63.238881301886785,31.660780924528304,31.58265920754717,7.43208311764706
CL,0.14955987622491948,64.51779194339623,18.226117943396225,29.227235792452827,30.90886666037736
