country,start,end,scope,cause,type
SEN,2025-08-23T03:30:00Z,2025-08-23T04:30:00Z,"Kurdistan region: KorekTel, IQ Online, KNET, Newroz Telecom",GOVERNMENT_DIRECTED,REGIONAL
SEN,2025-08-19T16:30:00Z,2025-08-19T17:45:00Z,,TECHNICAL_PROBLEM,NATIONWIDE
SEN,2025-08-19T16:10:00Z,2025-08-19T20:45:00Z,"PTCL, Ufone",UNKNOWN,NETWORK
SEN,2025-08-17T03:30:00Z,2025-08-17T08:15:00Z,,POWER_OUTAGE,NATIONWIDE
SEN,2025-08-11T14:15:00Z,2025-08-11T15:00:00Z,YemenNet,CYBERATTACK,NETWORK
SEN,2025-08-09T04:30:00Z,2025-08-09T06:45:00Z,Malé and Hulhumalé,POWER_OUTAGE,REGIONAL
SEN,2025-08-06T16:45:00Z,2025-08-06T17:20:00Z,Claro Colombia,UNKNOWN,NETWORK
SEN,2025-08-03T02:00:00Z,2025-08-03T06:30:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-31T02:00:00Z,2025-07-31T06:30:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-29T23:24:50Z,2025-07-31T10:30:00Z,Kamchatka Peninsula,NATURAL_DISASTER,REGIONAL
SEN,2025-07-28T02:00:00Z,2025-07-28T07:15:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-24T19:13:00Z,2025-07-24T21:28:00Z,Starlink,TECHNICAL_PROBLEM,NETWORK
SEN,2025-07-21T05:15:00Z,2025-07-21T08:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-19T12:45:00Z,2025-07-19T15:45:00Z,,CABLE_CUT,NATIONWIDE
SEN,2025-07-17T05:15:00Z,2025-07-17T07:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-12T05:15:00Z,2025-07-12T07:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-10T12:00:00Z,2025-07-10T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-09T12:00:00Z,2025-07-09T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-09T05:15:00Z,2025-07-09T06:30:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-08T12:00:00Z,2025-07-08T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-07T15:45:00Z,2025-07-07T18:00:00Z,Claro,CABLE_CUT,NETWORK
SEN,2025-07-07T14:30:00Z,2025-07-11T03:15:00Z,Orange Egypt,FIRE,NATIONWIDE
SEN,2025-07-07T14:30:00Z,2025-07-09T00:00:00Z,Etisalat,FIRE,NATIONWIDE
SEN,2025-07-07T14:30:00Z,2025-07-10T00:00:00Z,"Raya, Mobinil",FIRE,NATIONWIDE
SEN,2025-07-07T12:00:00Z,2025-07-07T15:00:00Z,"Sudatel, SDN Mobitel, MTN",GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-06T03:30:00Z,2025-07-06T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
SEN,2025-07-05T21:15:00Z,2025-07-06T00:00:00Z,,UNKNOWN,NATIONWIDE
SEN,2025-07-04T10:00:00Z,2025-07-04T20:00:00Z,,POWER_OUTAGE,NATIONWIDE
SEN,2025-07-03T05:15:00Z,2025-07-03T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-03T03:00:00Z,2025-07-03T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-02T03:30:00Z,2025-07-02T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
SEN,2025-07-02T03:00:00Z,2025-07-02T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-07-01T11:30:00Z,2025-07-01T18:00:00Z,Airtel Tanzania,POWER_OUTAGE,NETWORK
