date,iqi_latency_p25,iqi_latency_p50,iqi_latency_p75,country_alpha2,country,year,month
2025-02-10 00:00:00+00:00,15.867933,33.664012,44.535837,AX,ALA,2025,2
2025-02-17 00:00:00+00:00,8.338065,12.560725,32.620127,AX,ALA,2025,2
2025-02-24 00:00:00+00:00,11.429139,21.153076,35.118228,AX,ALA,2025,2
2025-03-03 00:00:00+00:00,9.950464,17.205082,40.489778,AX,ALA,2025,3
2025-03-10 00:00:00+00:00,11.868171,20.353543,37.548903,AX,ALA,2025,3
2025-03-17 00:00:00+00:00,9.72148,14.23404,23.797184,AX,ALA,2025,3
2025-03-24 00:00:00+00:00,8.542238,14.796564,29.347336,AX,ALA,2025,3
2025-03-31 00:00:00+00:00,9.738827,19.184203,27.658041,AX,ALA,2025,3
2025-04-07 00:00:00+00:00,7.374211,11.231454,22.47925,AX,ALA,2025,4
2025-04-14 00:00:00+00:00,16.92086,20.346144,24.96478,AX,ALA,2025,4
2025-04-21 00:00:00+00:00,12.422648,15.442065,33.652182,AX,ALA,2025,4
2025-04-28 00:00:00+00:00,15.74602,18.49602,26.117637,AX,ALA,2025,4
2025-05-05 00:00:00+00:00,12.738608,36.122738,47.872958,AX,ALA,2025,5
2025-05-12 00:00:00+00:00,8.611463,15.673889,30.343148,AX,ALA,2025,5
2025-05-19 00:00:00+00:00,7.274427,10.725408,20.80639,AX,ALA,2025,5
2025-05-26 00:00:00+00:00,11.26427,18.637662,31.384283,AX,ALA,2025,5
2025-06-02 00:00:00+00:00,9.191736,13.511303,20.382319,AX,ALA,2025,6
2025-06-09 00:00:00+00:00,9.172164,16.815434,25.562797,AX,ALA,2025,6
2025-06-16 00:00:00+00:00,7.554803,10.468474,13.456846,AX,ALA,2025,6
2025-06-23 00:00:00+00:00,13.860341,18.74251,24.543001,AX,ALA,2025,6
2025-06-30 00:00:00+00:00,17.824359,22.381364,34.668711,AX,ALA,2025,6
2025-07-07 00:00:00+00:00,20.423006,28.862984,43.193479,AX,ALA,2025,7
2025-07-14 00:00:00+00:00,15.579935,19.002839,24.262853,AX,ALA,2025,7
2025-07-21 00:00:00+00:00,7.804617,15.931105,24.63465,AX,ALA,2025,7
2025-07-28 00:00:00+00:00,11.780916,15.13363,26.782942,AX,ALA,2025,7
2025-08-04 00:00:00+00:00,8.618215,13.117238,19.692688,AX,ALA,2025,8
2025-08-11 00:00:00+00:00,10.500616,15.306065,20.15794,AX,ALA,2025,8
2025-08-18 00:00:00+00:00,9.837876,17.754404,25.418683,AX,ALA,2025,8
2025-08-25 00:00:00+00:00,9.438334,12.332177,18.822547,AX,ALA,2025,8
2025-09-01 00:00:00+00:00,12.712894,15.716817,20.397087,AX,ALA,2025,9
2025-09-08 00:00:00+00:00,8.313969,11.683587,17.60405,AX,ALA,2025,9
2025-09-15 00:00:00+00:00,7.86116,10.326128,19.17448,AX,ALA,2025,9
2025-09-22 00:00:00+00:00,13.51626,22.509442,29.739818,AX,ALA,2025,9
2025-09-29 00:00:00+00:00,34.144334,38.823659,43.234373,AX,ALA,2025,9
2025-10-06 00:00:00+00:00,12.846454,17.425854,21.88182,AX,ALA,2025,10
2025-10-13 00:00:00+00:00,13.426399,17.86526,22.331642,AX,ALA,2025,10
2025-10-20 00:00:00+00:00,21.491818,25.821425,48.971401,AX,ALA,2025,10
2025-10-27 00:00:00+00:00,8.38944,11.082843,15.235324,AX,ALA,2025,10
2025-11-03 00:00:00+00:00,11.335241,14.065972,18.064037,AX,ALA,2025,11
2025-11-10 00:00:00+00:00,8.624274,10.816494,14.994743,AX,ALA,2025,11
2025-11-17 00:00:00+00:00,7.831874,13.781267,21.169831,AX,ALA,2025,11
2025-11-24 00:00:00+00:00,7.720091,11.539962,19.435376,AX,ALA,2025,11
2025-12-01 00:00:00+00:00,14.322579,19.978111,32.416718,AX,ALA,2025,12
2025-12-08 00:00:00+00:00,42.575271,71.873245,125.071605,AX,ALA,2025,12
2024-12-09 00:00:00+00:00,29.245077,40.468047,57.515394,AL,ALB,2024,12
2024-12-16 00:00:00+00:00,28.750148,39.790828,56.839923,AL,ALB,2024,12
2024-12-23 00:00:00+00:00,30.190452,42.019751,59.869127,AL,ALB,2024,12
2024-12-30 00:00:00+00:00,28.624582,39.914874,57.499289,AL,ALB,2024,12
2025-01-06 00:00:00+00:00,28.693426,39.760621,56.712607,AL,ALB,2025,1
2025-01-13 00:00:00+00:00,28.316127,39.596648,58.667759,AL,ALB,2025,1
2025-01-20 00:00:00+00:00,29.26435,41.979042,61.263268,AL,ALB,2025,1
2025-01-27 00:00:00+00:00,28.877792,42.351595,61.586915,AL,ALB,2025,1
2025-02-03 00:00:00+00:00,27.904505,40.890333,61.003562,AL,ALB,2025,2
2025-02-10 00:00:00+00:00,28.922788,41.686006,60.686116,AL,ALB,2025,2
2025-02-17 00:00:00+00:00,29.118199,40.779449,57.378565,AL,ALB,2025,2
2025-02-24 00:00:00+00:00,29.391418,41.208019,57.36647,AL,ALB,2025,2
2025-03-03 00:00:00+00:00,28.871813,40.562747,56.805159,AL,ALB,2025,3
2025-03-10 00:00:00+00:00,31.833932,44.068089,62.9268,AL,ALB,2025,3
2025-03-17 00:00:00+00:00,31.105237,42.042787,57.341034,AL,ALB,2025,3
2025-03-24 00:00:00+00:00,29.752512,40.986662,57.798849,AL,ALB,2025,3
2025-03-31 00:00:00+00:00,30.324124,41.899631,58.650867,AL,ALB,2025,3
2025-04-07 00:00:00+00:00,31.586993,43.497953,61.051923,AL,ALB,2025,4
2025-04-14 00:00:00+00:00,31.648463,43.127215,60.172587,AL,ALB,2025,4
2025-04-21 00:00:00+00:00,33.070723,45.114738,62.304092,AL,ALB,2025,4
2025-04-28 00:00:00+00:00,33.486387,45.038654,61.52101,AL,ALB,2025,4
2025-05-05 00:00:00+00:00,33.669699,46.029715,63.631425,AL,ALB,2025,5
2025-05-12 00:00:00+00:00,33.667893,45.778927,61.294262,AL,ALB,2025,5
2025-05-19 00:00:00+00:00,33.226871,45.440044,59.999616,AL,ALB,2025,5
2025-05-26 00:00:00+00:00,33.985506,45.084898,60.025065,AL,ALB,2025,5
2025-06-02 00:00:00+00:00,36.845738,48.180719,63.598285,AL,ALB,2025,6
