country,iqi_p50,iqi_trend,gdp,income,quadrant
KM,4.407952962264151,-0.017159739800032256,1560.27378476855,,"En retard (bas IQI, bas PIB)"
KN,11.29462986792453,-0.01937981559425897,22576.9248439166,,"Leaders (haut IQI, haut PIB)"
KR,55.302547264150945,-0.276549750524109,35674.095995632,HIC,"Leaders (haut IQI, haut PIB)"
KW,8.27623041509434,-0.1259823684889534,34075.849012909,,"Sous-performants (bas IQI, haut PIB)"
KY,17.961778226415095,-0.14435464554104177,99143.5180243123,,"Leaders (haut IQI, haut PIB)"
KZ,6.550708339622641,-0.049561998226092564,12879.4275257974,,"Sous-performants (bas IQI, haut PIB)"
LA,9.527223075471698,-0.05234312522173844,2066.94979776957,,"En retard (bas IQI, bas PIB)"
LB,6.163872433962265,-0.0010507987421383667,3477.72489842684,,"En retard (bas IQI, bas PIB)"
LC,7.209886226415094,-0.03415523399451701,13554.7684784933,,"Sous-performants (bas IQI, haut PIB)"
LI,41.80324247169811,-0.08363691485244308,206780.590353385,,"Leaders (haut IQI, haut PIB)"
LK,6.307015150943395,-0.010527956055474923,3798.89016573011,,"En retard (bas IQI, bas PIB)"
LR,3.66653541509434,-0.026004403241412666,799.194470229642,,"En retard (bas IQI, bas PIB)"
LS,9.220262452830188,-0.08378823407514918,916.282976983803,,"En retard (bas IQI, bas PIB)"
LT,23.647347679245282,-0.1163214873407515,27786.0057829276,,"Leaders (haut IQI, haut PIB)"
LU,35.83344635849057,0.02911368319625865,133230.619178899,,"Leaders (haut IQI, haut PIB)"
LV,19.10362662264151,-0.12952248742138364,22710.2637544197,,"Leaders (haut IQI, haut PIB)"
LY,6.407686396226414,-0.02173859554910498,6026.51518708812,,"En retard (bas IQI, bas PIB)"
MA,11.785316981132075,-0.009983761651346559,3813.72607421875,LMC,"Efficaces (haut IQI, bas PIB)"
MC,45.93765371698113,-0.4205472448798581,256799.788612806,,"Leaders (haut IQI, haut PIB)"
MD,21.890142773584905,-0.1610839950008063,6799.58594644576,,"Efficaces (haut IQI, bas PIB)"
ME,17.231538547169812,-0.12301838469601675,12259.8775034436,,"Leaders (haut IQI, haut PIB)"
MG,6.456351169811321,-0.07024057740686988,508.718427705591,,"En retard (bas IQI, bas PIB)"
MH,4.668081754716981,-0.01465206563457507,6793.24495895856,,"En retard (bas IQI, bas PIB)"
MK,17.786988641509435,-0.1457781118368005,8674.35846327485,,"Leaders (haut IQI, haut PIB)"
ML,4.46389520754717,-0.020150897113368805,1043.9533853528,,"En retard (bas IQI, bas PIB)"
MM,9.470098886792453,-0.047145501370746655,1233.19666209269,,"En retard (bas IQI, bas PIB)"
MN,9.327585188679246,-0.04327275616835994,5838.63108083902,,"En retard (bas IQI, bas PIB)"
MO,56.4685951509434,0.16727149919367842,67216.3631112124,,"Leaders (haut IQI, haut PIB)"
MR,6.565362924528301,-0.03578145137880987,2135.78187606359,,"En retard (bas IQI, bas PIB)"
MT,15.171376811320755,-0.09699727826157072,40905.8059585057,,"Leaders (haut IQI, haut PIB)"
MU,9.292395490566038,-0.1114097771327205,11269.9684462139,,"Sous-performants (bas IQI, haut PIB)"
MV,8.644601094339622,-0.035421748105144334,12587.6126038651,,"Sous-performants (bas IQI, haut PIB)"
MW,4.595703245283019,-0.04732248427672956,633.214767978695,,"En retard (bas IQI, bas PIB)"
MX,15.967526283018868,-0.04425457168198678,13860.9597809326,UMC,"Leaders (haut IQI, haut PIB)"
MY,20.56182494339623,-0.12090638445412032,11386.0395636528,UMC,"Leaders (haut IQI, haut PIB)"
MZ,5.419501698113208,-0.024156724479922596,622.000297682823,,"En retard (bas IQI, bas PIB)"
NC,16.738212094339623,-0.13355946750524106,33701.8923322781,,"Leaders (haut IQI, haut PIB)"
NE,3.5933796792452832,-0.022525067247218183,638.336080897887,,"En retard (bas IQI, bas PIB)"
NG,4.201300735849056,-0.04069076786002258,2138.76383719983,LMC,"En retard (bas IQI, bas PIB)"
NI,8.040667905660378,-0.0356417898726012,2609.44492072931,,"En retard (bas IQI, bas PIB)"
NL,36.56960498113207,0.05809352128688917,63515.6030780019,HIC,"Leaders (haut IQI, haut PIB)"
NO,33.71260713207547,-0.2802030207224641,87497.2179649556,HIC,"Leaders (haut IQI, haut PIB)"
NP,13.437812867924528,-0.07253715844218674,1382.33055769304,,"Efficaces (haut IQI, bas PIB)"
NR,30.818328708333336,2.180891120537737,12752.4723855838,,"Leaders (haut IQI, haut PIB)"
NZ,25.583965735849056,-0.3024995786163521,49075.9562832927,HIC,"Leaders (haut IQI, haut PIB)"
OM,12.970174773584906,-0.18744410845024995,21027.7384778886,,"Leaders (haut IQI, haut PIB)"
PA,9.241035943396227,-0.07117877237542333,18797.1933994045,,"Sous-performants (bas IQI, haut PIB)"
PE,16.751414471698112,-0.2392716104660538,7887.54185920108,,"Leaders (haut IQI, haut PIB)"
PF,5.440290188679245,-0.036751544025157235,21832.2831795569,,"Sous-performants (bas IQI, haut PIB)"
PG,5.54261479245283,-0.04097684833091437,2966.06830432055,,"En retard (bas IQI, bas PIB)"
PH,17.280458018867925,-0.18756933986453794,3804.08274131097,LMC,"Efficaces (haut IQI, bas PIB)"
PK,6.871020094339623,-0.09386839154975002,1360.32417758419,LMC,"En retard (bas IQI, bas PIB)"
PL,18.11528452830189,-0.02412127261731979,22145.2660647429,HIC,"Leaders (haut IQI, haut PIB)"
PR,11.337157245283018,-0.08011918924367038,36980.7884784287,,"Leaders (haut IQI, haut PIB)"
PS,8.576441226415094,-0.022540436542493134,3455.02852911712,,"En retard (bas IQI, bas PIB)"
PT,29.264702150943396,-0.19016444944363808,27634.6183139773,HIC,"Leaders (haut IQI, haut PIB)"
PW,5.141448226415094,-0.010855588130946617,15610.8231931032,,"Sous-performants (bas IQI, haut PIB)"
PY,13.088638698113208,-0.08359132930172553,6299.99026533713,,"Efficaces (haut IQI, bas PIB)"
QA,18.707993000000002,-0.2314885720045154,81816.9797967481,HIC,"Leaders (haut IQI, haut PIB)"
RO,21.08620283018868,-0.1759053176100629,18244.4186876321,UMC,"Leaders (haut IQI, haut PIB)"
RS,22.191609773584908,-0.14684756337687466,12281.707946167,,"Leaders (haut IQI, haut PIB)"
RU,11.846104471698112,-0.031611392275439444,14159.3876953125,UMC,"Leaders (haut IQI, haut PIB)"
RW,5.1593641509433965,-0.06243862578616352,1027.03446826565,,"En retard (bas IQI, bas PIB)"
SA,7.7237039622641515,-0.0737563987260119,36156.848337701,HIC,"Sous-performants (bas IQI, haut PIB)"
SB,6.765724075471698,-0.017956654733107556,1882.64394148042,,"En retard (bas IQI, bas PIB)"
SC,6.9445667547169805,-0.10740940396710208,18262.7115849287,,"Sous-performants (bas IQI, haut PIB)"
SD,4.395020188679245,-0.021111521367521365,797.283447265625,,"En retard (bas IQI, bas PIB)"
SE,35.44373937735849,-0.2814682043218836,54950.2834725622,HIC,"Leaders (haut IQI, haut PIB)"
SG,52.38598275471698,-0.2890675348330914,85412.230345235,HIC,"Leaders (haut IQI, haut PIB)"
SI,25.5017821509434,-0.13898450354781486,32660.4753581346,,"Leaders (haut IQI, haut PIB)"
SK,24.72857145283019,-0.11480161175616835,24614.8734642794,HIC,"Leaders (haut IQI, haut PIB)"
SL,3.687060075471698,-0.02198271496532817,758.329137378248,,"En retard (bas IQI, bas PIB)"
SM,43.289175339622645,-0.38364581478793736,59879.7173015651,,"Leaders (haut IQI, haut PIB)"
SN,6.6326175471698114,-0.022013942993065624,1698.03387300843,,"En retard (bas IQI, bas PIB)"
SO,4.238933490566038,-0.029582452023867126,596.885985135589,,"En retard (bas IQI, bas PIB)"
SR,7.424080226415094,0.01694129414610547,5521.97602122638,,"En retard (bas IQI, bas PIB)"
ST,6.203136188679245,-0.03997071053055959,2990.6606143535,,"En retard (bas IQI, bas PIB)"
SV,9.364139113207548,-0.06361485042735042,5365.44491399171,,"En retard (bas IQI, bas PIB)"
SX,11.367964603773585,-0.030353444605708754,39451.8223361963,,"Leaders (haut IQI, haut PIB)"
SZ,11.320069886792453,-0.1078471059506531,3755.52111232464,,"Efficaces (haut IQI, bas PIB)"
TC,12.96527758490566,-0.10035943420416062,35470.2151608295,,"Leaders (haut IQI, haut PIB)"
TD,3.595321716981132,0.008216291646508627,949.333453674592,,"En retard (bas IQI, bas PIB)"
TG,4.875031754716981,-0.038280554184808906,1055.01727877926,,"En retard (bas IQI, bas PIB)"
TH,27.46944747169811,-0.6073213168843735,7195.10130919449,UMC,"Efficaces (haut IQI, bas PIB)"
TJ,4.085156905660377,-0.018055534591194966,1178.47990060249,,"En retard (bas IQI, bas PIB)"
TL,4.727249283018868,6.438372843089557e-05,1502.41147438211,,"En retard (bas IQI, bas PIB)"
TM,6.385601583333333,-0.03683863085907596,6231.91323839698,,"En retard (bas IQI, bas PIB)"
TN,9.403827754716982,-0.03775893041444929,3951.11683376921,,"En retard (bas IQI, bas PIB)"
TO,6.318749301886792,-0.062464057490727296,5651.59373063157,,"En retard (bas IQI, bas PIB)"
TR,13.502528150943396,-0.1022985228189002,13375.0947282864,UMC,"Leaders (haut IQI, haut PIB)"
TT,8.54705313207547,-0.03411990695049186,18308.4536298575,,"Sous-performants (bas IQI, haut PIB)"
TV,7.703437522727273,-0.07386672993344559,6344.7750188689,,"En retard (bas IQI, bas PIB)"
TW,27.563149,-0.21554707651991614,35510.0,HIC,"Leaders (haut IQI, haut PIB)"
TZ,5.160236320754717,-0.03744276503789711,1224.00219726563,LIC,"En retard (bas IQI, bas PIB)"
UA,15.481448056603774,-0.10791374060635384,5139.59814453125,,"Efficaces (haut IQI, bas PIB)"
UG,6.04398262264151,-0.05958483034994356,1002.30913917142,LIC,"En retard (bas IQI, bas PIB)"
US,25.245442018867923,-0.1401390433801,81032.262117545,HIC,"Leaders (haut IQI, haut PIB)"
UY,20.885163301886795,-0.19358295283018864,23019.4221560046,,"Leaders (haut IQI, haut PIB)"
UZ,5.6450119999999995,-0.05368366263505887,2878.96879292451,,"En retard (bas IQI, bas PIB)"
VC,7.958704056603773,-0.06800382978551846,10582.3656725229,,"Sous-performants (bas IQI, haut PIB)"
VE,8.822119037735849,-0.04139359393646186,3617.43594578269,,"En retard (bas IQI, bas PIB)"
VN,15.214620716981132,-0.14574712788259958,4323.35031982451,LMC,"Efficaces (haut IQI, bas PIB)"
VU,6.825082698113207,-0.03344005571681985,3482.61458237637,,"En retard (bas IQI, bas PIB)"
WS,8.76354862264151,0.2737183978390582,4822.74084650019,,"En retard (bas IQI, bas PIB)"
XK,19.807370905660374,-0.17111939582325428,6221.20618847799,,"Efficaces (haut IQI, bas PIB)"
ZA,15.915886320754717,-0.09507513304305754,6034.27208964673,UMC,"Efficaces (haut IQI, bas PIB)"
ZM,5.822022094339622,-0.03568140509595226,1330.72780576709,,"En retard (bas IQI, bas PIB)"
ZW,7.789351415094339,-0.057956559022738274,2195.22492079245,,"En retard (bas IQI, bas PIB)"
